% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25269.372942   -9.908 
25269.572937  -10.015 
25269.772932  -10.203 
25269.972927  -10.237 
25270.172922  -10.316 
25270.372917  -10.270 
25270.572913  -10.113 
25270.772908   -9.984 
25270.972903   -9.770 
25271.172898   -9.630 
25271.372894   -9.672 
25271.572889   -9.821 
25271.772884   -9.892 
25271.972879  -10.007 
25272.172874  -10.086 
25272.372870  -10.132 
25272.572865  -10.078 
25272.772860   -9.887 
25272.972856   -9.833 
25273.172851   -9.574 
25273.372846   -9.693 
25273.572841   -9.844 
25273.772836   -9.946 
25273.972832  -10.122 
25274.172827  -10.162 
25274.372822  -10.249 
25274.572817  -10.212 
25274.772812  -10.065 
25274.972808   -9.923 
25275.172803   -9.718 
25275.372798   -9.578 
25275.572793   -9.586 
25275.772789   -9.764 
25275.972784   -9.858 
25276.172779   -9.950 
25276.372774  -10.051 
25276.572769  -10.130 
25276.772765  -10.063 
25276.972760   -9.864 
25277.172755   -9.793 
25277.372750   -9.542 
25277.572746   -9.662 
25277.772741   -9.814 
25277.972736   -9.929 
25278.172731  -10.111 
25278.372727  -10.174 
25278.572722  -10.241 
25278.772717  -10.203 
25278.972713  -10.067 
25279.172708   -9.933 
25279.372703   -9.758 
25279.572697   -9.586 
25279.772693   -9.597 
25279.972688   -9.777 
25280.172683   -9.854 
25280.372678  -10.007 
25280.572674  -10.044 
25280.772669  -10.111 
25280.972664  -10.061 
25281.172659   -9.858 
25281.372654   -9.762 
25281.572650   -9.500 
25281.772645   -9.611 
25281.972640   -9.745 
25282.172635   -9.879 
25282.372631  -10.051 
25282.572626  -10.113 
25282.772621  -10.185 
25282.972617  -10.162 
25283.172612  -10.005 
25283.372607   -9.867 
25283.572602   -9.682 
25283.772598   -9.500 
25283.972593   -9.503 
25284.172588   -9.657 
25284.372583   -9.726 
25284.572578   -9.852 
25284.772573   -9.910 
25284.972569   -9.967 
25285.172564   -9.944 
25285.372559   -9.758 
25285.572554   -9.668 
25285.772549   -9.423 
25285.972545   -9.496 
25286.172540   -9.647 
25286.372535   -9.797 
25286.572530   -9.942 
25286.772526  -10.034 
25286.972521  -10.086 
25287.172516  -10.067 
25287.372511   -9.952 
25287.572507   -9.789 
25287.772502   -9.630 
25287.972497   -9.427 
25288.172493   -9.417 
25288.372488   -9.592 
25288.572483   -9.653 
25288.772478   -9.774 
25288.972473   -9.864 
25289.172469   -9.984 
25289.372464   -9.971 
25289.572458   -9.808 
25289.772454   -9.718 
25289.972449   -9.519 
25290.172444   -9.565 
25290.372439   -9.691 
25290.572434   -9.837 
25290.772430  -10.036 
25290.972425  -10.185 
25291.172420  -10.245 
25291.372415  -10.258 
25291.572411  -10.130 
25291.772406   -9.963 
25291.972401   -9.821 
25292.172396   -9.588 
25292.372391   -9.599 
25292.572387   -9.766 
25292.772382   -9.858 
25292.972377  -10.019 
25293.172372  -10.082 
25293.372368  -10.090 
25293.572363  -10.057 
25293.772358   -9.887 
25293.972354   -9.812 
25294.172349   -9.607 
25294.372344   -9.649 
25294.572339   -9.777 
25294.772335   -9.925 
25294.972330  -10.055 
25295.172325  -10.182 
25295.372320  -10.258 
25295.572315  -10.245 
25295.772310  -10.124 
25295.972305   -9.940 
25296.172300   -9.810 
25296.372296   -9.580 
25296.572291   -9.580 
25296.772286   -9.735 
25296.972281   -9.814 
25297.172276   -9.971 
25297.372272  -10.051 
25297.572267  -10.134 
25297.772262  -10.138 
25297.972258   -9.975 
25298.172253   -9.871 
25298.372248   -9.691 
25298.572243   -9.693 
25298.772238   -9.818 
25298.972234   -9.982 
25299.172229  -10.120 
25299.372224  -10.235 
25299.572220  -10.287 
25299.772215  -10.291 
25299.972210  -10.187 
25300.172205   -9.998 
25300.372200   -9.890 
25300.572194   -9.649 
25300.772189   -9.643 
25300.972185   -9.791 
25301.172180   -9.892 
25301.372175  -10.028 
25301.572170  -10.090 
25301.772166  -10.216 
25301.972161  -10.182 
25302.172156  -10.030 
25302.372151   -9.902 
25302.572146   -9.728 
25302.772142   -9.697 
25302.972137   -9.812 
25303.172132   -9.975 
25303.372127  -10.126 
25303.572123  -10.270 
25303.772118  -10.331 
25303.972113  -10.333 
25304.172108  -10.247 
25304.372103  -10.042 
25304.572098   -9.946 
25304.772094   -9.668 
25304.972089   -9.697 
25305.172084   -9.829 
25305.372079   -9.925 
25305.572074  -10.040 
25305.772070  -10.118 
25305.972065  -10.228 
25306.172060  -10.243 
25306.372055  -10.095 
25306.572051   -9.952 
25306.772046   -9.806 
25306.972041   -9.741 
25307.172036   -9.841 
25307.372031  -10.013 
25307.572027  -10.143 
25307.772022  -10.306 
25307.972017  -10.352 
25308.172012  -10.360 
25308.372008  -10.281 
25308.572003  -10.061 
25308.771998   -9.950 
25308.971993   -9.697 
25309.171988   -9.701 
25309.371984   -9.829 
25309.571979   -9.933 
25309.771974  -10.065 
25309.971969  -10.153 
25310.171964  -10.239 
25310.371960  -10.241 
25310.571954  -10.111 
25310.771949 1570000000.000 
25310.971944 1570000000.000 
25311.171940 1570000000.000 
25311.371935 1570000000.000 
25311.571930 1570000000.000 
25311.771925 1570000000.000 
25311.971920 1570000000.000 
25312.171916 1570000000.000 
25312.371911 1570000000.000 
25312.571906 1570000000.000 
25312.771901 1570000000.000 
25312.971896 1570000000.000 
25313.171892 1570000000.000 
25313.371887 1570000000.000 
25313.571882 1570000000.000 
25313.771878 1570000000.000 
25313.971873 1570000000.000 
25314.171868 1570000000.000 
25314.371863 1570000000.000 
25314.571858 1570000000.000 
25314.771853  -10.074 
25314.971848   -9.923 
25315.171844   -9.795 
25315.371839   -9.682 
25315.571833   -9.779 
25315.771828   -9.961 
25315.971823  -10.095 
25316.171819  -10.268 
25316.371814  -10.310 
25316.571809  -10.337 
25316.771805  -10.256 
25316.971800  -10.057 
25317.171795   -9.917 
25317.371790   -9.630 
25317.571785   -9.609 
25317.771781   -9.726 
25317.971776   -9.835 
25318.171771   -9.927 
25318.371766  -10.009 
25318.571761  -10.090 
25318.771757  -10.095 
25318.971752  -10.000 
25319.171747   -9.873 
25319.371742   -9.754 
25319.571738   -9.626 
25319.771733   -9.716 
25319.971728   -9.904 
25320.171723  -10.026 
25320.371718  -10.191 
25320.571714  -10.231 
25320.771709  -10.266 
25320.971704  -10.187 
25321.171699  -10.003 
25321.371695   -9.885 
25321.571690   -9.603 
25321.771685   -9.590 
25321.971680   -9.659 
25322.171675   -9.804 
25322.371671   -9.894 
25322.571666   -9.979 
25322.771661  -10.055 
25322.971656  -10.057 
25323.171652   -9.944 
25323.371647   -9.791 
25323.571642   -9.676 
25323.771637   -9.526 
25323.971632   -9.624 
25324.171628   -9.810 
25324.371623   -9.946 
25324.571618  -10.126 
25324.771614  -10.166 
25324.971609  -10.205 
25325.171604  -10.145 
25325.371599   -9.952 
25325.571593   -9.827 
25325.771588   -9.572 
25325.971583   -9.511 
25326.171579   -9.567 
25326.371574   -9.703 
25326.571569   -9.797 
25326.771564   -9.906 
25326.971560  -10.015 
25327.171555  -10.032 
25327.371550   -9.944 
25327.571545   -9.756 
25327.771541   -9.678 
25327.971536   -9.507 
25328.171531   -9.590 
25328.371526   -9.785 
25328.571521   -9.908 
25328.771517  -10.107 
25328.971512  -10.159 
25329.171507  -10.187 
25329.371502  -10.124 
25329.571497   -9.946 
25329.771493   -9.812 
25329.971488   -9.572 
25330.171483   -9.517 
25330.371478   -9.588 
25330.571474   -9.728 
25330.771469   -9.825 
25330.971464   -9.929 
25331.171459  -10.034 
25331.371454  -10.069 
