% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
26378.174607     -1.364e+01
26382.174607     -1.362e+01
26386.174607     -1.390e+01
26390.174607     -1.357e+01
26394.174607     -1.390e+01
26398.174607     -1.408e+01
26402.174607     -1.392e+01
26406.174607     -1.429e+01
26410.174607     -1.441e+01
26414.174607     -1.384e+01
26418.174607     -1.359e+01
26422.174607     -1.391e+01
26426.174607     -1.362e+01
26430.174607     -1.316e+01
26434.174607     -1.221e+01
26438.174607     -1.169e+01
26442.174607     -1.168e+01
26446.174607     -1.182e+01
26450.174607     -1.292e+01
26454.174607     -1.356e+01
26458.174607     -1.346e+01
26462.174607     -1.399e+01
26466.174607     -1.483e+01
26470.174607     -1.515e+01
26474.174607     -1.511e+01
26478.174607     -1.515e+01
26482.174607     -1.479e+01
26486.174607     -1.399e+01
26490.174607     -1.345e+01
26494.174607     -1.385e+01
26498.174607     -1.415e+01
26502.174607     -1.422e+01
26506.174607     -1.472e+01
26510.174607     -1.430e+01
26514.174607     -1.437e+01
26518.174607     -1.409e+01
26522.174607     -1.340e+01
26526.174607     -1.264e+01
26530.174607     -1.191e+01
26534.174607     -1.177e+01
26538.174607     -1.257e+01
26542.174607     -1.320e+01
26546.174607     -1.314e+01
26550.174607     -1.247e+01
26554.174607     -1.255e+01
26558.174607     -1.243e+01
26562.174607     -1.293e+01
26566.174607     -1.376e+01
26570.174607     -1.469e+01
26574.174607     -1.507e+01
26578.174607     -1.449e+01
26582.174607     -1.331e+01
26586.174607     -1.278e+01
26590.174607     -1.290e+01
26594.174607     -1.371e+01
26598.174607     -1.348e+01
26602.174607     -1.303e+01
26606.174607     -1.290e+01
26610.174607     -1.303e+01
26614.174607     -1.310e+01
26618.174607     -1.347e+01
26622.174607     -1.352e+01
26626.174607     -1.346e+01
26630.174607     -1.397e+01
26634.174607     -1.344e+01
26638.174607     -1.384e+01
26642.174607     -1.434e+01
26646.174607     -1.440e+01
26650.174607     -1.581e+01
26654.174607     -1.538e+01
26658.174607     -1.492e+01
26662.174607     -1.432e+01
26666.174607     -1.442e+01
26670.174607     -1.506e+01
26674.174607     -1.473e+01
26678.174607     -1.457e+01
26682.174607     -1.451e+01
26686.174607     -1.415e+01
26690.174607     -1.519e+01
26694.174607     -1.446e+01
26698.174607     -1.433e+01
26702.174607     -1.493e+01
26706.174607     -1.547e+01
26710.174607     -1.374e+01
26714.174607     -1.317e+01
26718.174607     -1.208e+01
26722.174607     -1.123e+01
26726.174607     -1.238e+01
26730.174607     -1.303e+01
26734.174607     -1.348e+01
26738.174607     -1.262e+01
26742.174607     -1.111e+01
26746.174607     -1.068e+01
26750.174607     -1.117e+01
26754.174607     -1.077e+01
26758.174607     -1.059e+01
26762.174607     -1.094e+01
26766.174607     -1.071e+01
26770.174607     -1.242e+01
26774.174607     -1.296e+01
26778.174607     -1.270e+01
26782.174607     -1.206e+01
26786.174607     -1.108e+01
26790.174607     -1.106e+01
26794.174607     -1.109e+01
26798.174607     -1.241e+01
26802.174607     -1.298e+01
26806.174607     -1.414e+01
26810.174607     -1.386e+01
26814.174607     -1.279e+01
26818.174607     -1.278e+01
26822.174607     -1.269e+01
26826.174607     -1.274e+01
26830.174607     -1.163e+01
26834.174607     -1.022e+01
26838.174607     -8.973e+00
26842.174607     -9.333e+00
26846.174607     -9.280e+00
26850.174607     -8.917e+00
26854.174607     -8.285e+00
26858.174607     -7.522e+00
26862.174607     -6.699e+00
26866.174607     -6.714e+00
26870.174607     -6.241e+00
26874.174607     -9.534e+00
26878.174607     -8.708e+00
26882.174607     -8.816e+00
26886.174607     -9.375e+00
26890.174607     -9.294e+00
26894.174607     -9.262e+00
26898.174607     -9.838e+00
26902.174607     -9.053e+00
26906.174607     -8.884e+00
26910.174607     -9.050e+00
26914.174607     -9.769e+00
26918.174607     -1.067e+01
26922.174607     -1.079e+01
26926.174607     -9.565e+00
26930.174607     -9.555e+00
26934.174607     -9.872e+00
26938.174607     -9.710e+00
26942.174607     -9.856e+00
26946.174607     -9.853e+00
26950.174607     -1.057e+01
26954.174607     -1.075e+01
26958.174607     -1.101e+01
26962.174607     -1.030e+01
26966.174607     -9.612e+00
26970.174607     -9.859e+00
26974.174607     -9.705e+00
26978.174607     -9.515e+00
26982.174607     -9.490e+00
26986.174607     -9.467e+00
26990.174607     -9.494e+00
26994.174607     -9.528e+00
26998.174607     -9.714e+00
27002.174607     -9.622e+00
27006.174607     -9.631e+00
27010.174607     -9.818e+00
27014.174607     -9.461e+00
27018.174607     -9.190e+00
27022.174607     -9.134e+00
27026.174607     -9.033e+00
27030.174607     -9.328e+00
27034.174607     -8.476e+00
27038.174607     -1.001e+01
27042.174607     -9.797e+00
27046.174607     -9.977e+00
27050.174607     -1.033e+01
27054.174607     -1.022e+01
27058.174607     -9.895e+00
27062.174607     -9.453e+00
27066.174607     -9.302e+00
27070.174607     -9.236e+00
27074.174607     -9.044e+00
27078.174607     -8.775e+00
27082.174607     -8.169e+00
27086.174607     -8.752e+00
27090.174607     -9.524e+00
27094.174607     -9.869e+00
27098.174607     -9.058e+00
27102.174607     -8.916e+00
27106.174607     -9.424e+00
27110.174607     -8.212e+00
27114.174607     -7.535e+00
27118.174607     -7.968e+00
27122.174607     -8.034e+00
27126.174607     -8.862e+00
27130.174607     -8.606e+00
27134.174607     -8.042e+00
27138.174607     -7.995e+00
27142.174607     -7.361e+00
27146.174607     -7.665e+00
27150.174607     -8.619e+00
27154.174607     -9.653e+00
27158.174607     -9.474e+00
27162.174607     -9.047e+00
27166.174607     -9.366e+00
27170.174607     -9.369e+00
27174.174607     -9.869e+00
27178.174607     -9.629e+00
27182.174607     -9.429e+00
27186.174607     -9.399e+00
27190.174607     -9.678e+00
27194.174607     -1.019e+01
27198.174607     -1.091e+01
27202.174607     -1.052e+01
27206.174607     -1.025e+01
27210.174607     -9.397e+00
27214.174607     -9.554e+00
27218.174607     -9.752e+00
27222.174607     -8.892e+00
27226.174607     -8.450e+00
27230.174607     -7.962e+00
27234.174607     -8.549e+00
27238.174607     -8.989e+00
27242.174607     -8.429e+00
27246.174607     -7.282e+00
27250.174607     -6.973e+00
27254.174607     -7.888e+00
27258.174607     -8.417e+00
27262.174607     -8.545e+00
27266.174607     -9.597e+00
27270.174607     -9.955e+00
27274.174607     -9.281e+00
27278.174607     -7.634e+00
27282.174607     -9.298e+00
27286.174607     -1.290e+01
27290.174607     -1.292e+01
27294.174607     -1.294e+01
27298.174607     -1.326e+01
27302.174607     -1.254e+01
27306.174607     -9.856e+00
27310.174607     -9.208e+00
27314.174607     -9.431e+00
27318.174607     -9.408e+00
27322.174607     -8.671e+00
27326.174607     -9.493e+00
27330.174607     -9.701e+00
27334.174607     -9.315e+00
27338.174607     -9.680e+00
27342.174607     -9.492e+00
27346.174607     -9.068e+00
27350.174607     -8.866e+00
27354.174607     -9.240e+00
27358.174607     -9.000e+00
27362.174607     -8.705e+00
27366.174607     -8.637e+00
27370.174607     -8.551e+00
27374.174607     -8.576e+00
27378.174607     -8.688e+00
27382.174607     -8.951e+00
27386.174607     -9.115e+00
27390.174607     -8.786e+00
27394.174607     -8.296e+00
27398.174607     -8.757e+00
27402.174607     -8.912e+00
27406.174607     -8.305e+00
27410.174607     -7.489e+00
27414.174607     -7.704e+00
27418.174607     -8.013e+00
27422.174607     -8.071e+00
27426.174607     -7.935e+00
27430.174607     -8.198e+00
27434.174607     -7.716e+00
27438.174607     -8.160e+00
27442.174607     -7.877e+00
27446.174607     -8.183e+00
27450.174607     -8.113e+00
27454.174607     -7.495e+00
27458.174607     -7.534e+00
27462.174607     -8.088e+00
27466.174607     -8.760e+00
27470.174607     -8.036e+00
27474.174607     -7.951e+00
27478.174607     -8.165e+00
27482.174607     -8.819e+00
27486.174607     -8.991e+00
27490.174607     -9.021e+00
27494.174607     -9.664e+00
27498.174607     -8.520e+00
27502.174607     -9.497e+00
27506.174607     -8.749e+00
27510.174607     -8.697e+00
27514.174607     -8.296e+00
27518.174607     -8.221e+00
27522.174607     -8.387e+00
27526.174607     -8.208e+00
27530.174607     -8.228e+00
27534.174607     -7.992e+00
27538.174607     -7.862e+00
27542.174607     -8.564e+00
27546.174607     -8.924e+00
27550.174607     -8.727e+00
27554.174607     -8.400e+00
27558.174607     -8.162e+00
27562.174607     -8.754e+00
27566.174607     -8.377e+00
27570.174607     -8.505e+00
27574.174607     -8.076e+00
27578.174607     -7.843e+00
27582.174607     -8.218e+00
27586.174607     -8.247e+00
27590.174607     -9.276e+00
27594.174607     -8.545e+00
27598.174607     -9.101e+00
27602.174607     -1.021e+01
27606.174607     -1.216e+01
27610.174607     -1.313e+01
27614.174607     -1.204e+01
27618.174607     -9.686e+00
27622.174607     -7.848e+00
27626.174607     -7.922e+00
27630.174607     -8.568e+00
27634.174607     -9.223e+00
27638.174607     -1.052e+01
27642.174607     -1.299e+01
27646.174607     -1.056e+01
27650.174607     -8.848e+00
27654.174607     -1.092e+01
27658.174607     -1.274e+01
27662.174607     -1.176e+01
27666.174607     -1.049e+01
27670.174607     -8.938e+00
27674.174607     -8.628e+00
27678.174607     -9.898e+00
27682.174607     -1.105e+01
27686.174607     -9.910e+00
27690.174607     -8.424e+00
27694.174607     -8.584e+00
27698.174607     -8.395e+00
27702.174607     -7.106e+00
27706.174607     -7.903e+00
27710.174607     -8.339e+00
27714.174607     -8.480e+00
27718.174607     -9.493e+00
27722.174607     -9.557e+00
27726.174607     -9.482e+00
27730.174607     -9.965e+00
27734.174607     -1.021e+01
27738.174607     -9.884e+00
27742.174607     -9.396e+00
27746.174607     -9.235e+00
27750.174607     -9.296e+00
27754.174607     -9.708e+00
27758.174607     -9.445e+00
27762.174607     -9.175e+00
27766.174607     -9.405e+00
27770.174607     -8.887e+00
27774.174607     -9.186e+00
27778.174607     -8.859e+00
27782.174607     -8.448e+00
27786.174607     -8.493e+00
27790.174607     -8.632e+00
27794.174607     -8.986e+00
27798.174607     -1.026e+01
27802.174607     -1.117e+01
27806.174607     -1.060e+01
27810.174607     -1.033e+01
27814.174607     -1.032e+01
27818.174607     -9.932e+00
27822.174607     -9.495e+00
27826.174607     -9.206e+00
27830.174607     -8.682e+00
27834.174607     -8.971e+00
27838.174607     -8.454e+00
27842.174607     -7.979e+00
27846.174607     -7.679e+00
27850.174607     -8.342e+00
27854.174607     -8.360e+00
27858.174607     -8.293e+00
27862.174607     -9.215e+00
27866.174607     -9.836e+00
27870.174607     -1.008e+01
27874.174607     -1.054e+01
27878.174607     -1.030e+01
27882.174607     -9.098e+00
27886.174607     -8.600e+00
27890.174607     -8.568e+00
27894.174607     -8.801e+00
27898.174607     -8.877e+00
27902.174607     -8.911e+00
27906.174607     -8.799e+00
27910.174607     -8.541e+00
27914.174607     -9.066e+00
27918.174607     -9.781e+00
27922.174607     -1.212e+01
27926.174607     -1.377e+01
27930.174607     -1.389e+01
27934.174607     -1.356e+01
27938.174607     -1.271e+01
27942.174607     -1.125e+01
27946.174607     -1.034e+01
27950.174607     -8.873e+00
27954.174607     -8.212e+00
27958.174607     -7.824e+00
27962.174607     -7.824e+00
27966.174607     -7.710e+00
27970.174607     -7.777e+00
27974.174607     -8.067e+00
27978.174607     -7.964e+00
27982.174607     -7.754e+00
27986.174607     -7.861e+00
27990.174607     -7.906e+00
27994.174607     -7.838e+00
27998.174607     -7.940e+00
28002.174607     -8.030e+00
28006.174607     -8.453e+00
28010.174607     -8.541e+00
28014.174607     -8.197e+00
28018.174607     -8.431e+00
28022.174607     -8.684e+00
28026.174607     -8.702e+00
28030.174607     -8.854e+00
28034.174607     -8.818e+00
28038.174607     -8.878e+00
28042.174607     -1.010e+01
28046.174607     -1.095e+01
28050.174607     -1.021e+01
28054.174607     -9.845e+00
28058.174607     -1.122e+01
28062.174607     -1.148e+01
28066.174607     -1.159e+01
28070.174607     -1.149e+01
28074.174607     -1.174e+01
28078.174607     -1.201e+01
28082.174607     -1.194e+01
28086.174607     -1.246e+01
28090.174607     -1.277e+01
28094.174607     -1.296e+01
28098.174607     -1.277e+01
28102.174607     -1.232e+01
28106.174607     -1.218e+01
28110.174607     -1.258e+01
28114.174607     -1.265e+01
